                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0659,                 4.2348,                 2.2273,                 0.3037,                0.32866,                 0.2023,                0.06165,                 2.6928,                 2.5394,                 2.0787,                 0.0856,                 0.0016,                 0.0016
                      1,                 2.6132,                 2.5071,                 1.9063,                0.34923,                0.36433,                0.27717,                0.09661,                 2.4045,                 2.0594,                 1.8437,               0.070291,              0.0032907,              0.0032907
                      2,                 2.3877,                 2.2184,                 1.7086,                 0.3304,                0.39745,                0.27363,                0.08253,                 2.3261,                 3.3224,                 1.7361,               0.054972,              0.0049717,              0.0049717
                      3,                 2.3027,                 2.1618,                  1.573,                0.16996,                0.29299,                0.11057,                0.03377,                 2.4247,                 2.9439,                 1.7491,               0.039643,              0.0066431,              0.0066431
                      4,                 2.2581,                 2.2195,                 1.5224,                 0.2095,                0.29172,                0.14716,                0.04076,                 2.3738,                  2.642,                 1.8473,               0.024305,               0.008305,               0.008305
                      5,                 2.2674,                 2.3264,                 1.5781,                0.29482,                0.39236,                0.24572,                0.08174,                 2.2893,                 2.5287,                 1.7186,              0.0098586,              0.0098586,              0.0098586
                      6,                 2.2949,                 2.1464,                 1.5256,                0.23681,                0.29809,                0.18355,                0.05296,                 2.4069,                 6.3415,                 1.7456,              0.0098586,              0.0098586,              0.0098586
                      7,                 2.3686,                 2.2726,                 1.5741,                0.17644,                0.19873,                0.10198,                0.03478,                 2.4075,                 3.2372,                 1.9631,              0.0098303,              0.0098303,              0.0098303
                      8,                 2.2106,                 2.2756,                 1.5341,                0.20964,                0.22469,                 0.1081,                0.04156,                 2.3561,                 2.4937,                 1.8702,               0.009802,               0.009802,               0.009802
                      9,                 2.2111,                 2.2058,                 1.5229,                 0.2645,                0.32866,                0.18224,                0.06483,                 2.3024,                 2.3487,                 1.7553,              0.0097737,              0.0097737,              0.0097737
                     10,                 2.2736,                 2.0606,                  1.535,                0.17616,                0.17197,                0.08389,                0.03002,                 2.5381,                 2.7836,                 1.9065,              0.0097454,              0.0097454,              0.0097454
                     11,                 2.1606,                 2.1246,                 1.5253,                0.17199,                0.17834,                0.09263,                 0.0351,                 2.5753,                 3.1115,                 1.9637,              0.0097171,              0.0097171,              0.0097171
                     12,                 2.1394,                 2.1153,                 1.4907,                0.28569,                0.09045,                0.08258,                0.03299,                 2.6596,                 3.4813,                 2.1554,              0.0096889,              0.0096889,              0.0096889
                     13,                 2.1988,                 2.1047,                   1.49,                0.12477,                    0.2,                0.06221,                0.02143,                 2.5316,                 2.7523,                 1.8507,              0.0096606,              0.0096606,              0.0096606
                     14,                 2.1863,                 2.0384,                 1.4973,                0.25484,                0.32484,                0.17105,                0.05547,                 2.3226,                 2.5779,                 1.6742,              0.0096323,              0.0096323,              0.0096323
                     15,                 2.2066,                 2.0621,                 1.5107,                0.24633,                0.35414,                0.17602,                0.05521,                 2.3135,                 2.2259,                 1.7296,               0.009604,               0.009604,               0.009604
                     16,                 2.1783,                 2.0253,                 1.5023,                0.36819,                0.40127,                0.29238,                0.09682,                 2.2781,                  1.994,                 1.6722,              0.0095757,              0.0095757,              0.0095757
                     17,                 2.1793,                 2.0232,                 1.4813,                0.41825,                0.44586,                0.33484,                0.11267,                  2.319,                 2.1928,                 1.7226,              0.0095474,              0.0095474,              0.0095474
                     18,                 2.1618,                 2.0147,                 1.5019,                0.39015,                0.42038,                0.32421,                0.10128,                 2.3113,                 2.2166,                 1.7035,              0.0095191,              0.0095191,              0.0095191
                     19,                 2.1902,                 2.0317,                 1.5082,                0.31161,                0.36815,                0.24975,                0.07907,                  2.314,                 2.0693,                 1.7134,              0.0094909,              0.0094909,              0.0094909
                     20,                 2.1399,                 1.9959,                 1.4698,                0.35668,                0.43949,                0.29455,                0.10389,                 2.1999,                 1.9404,                 1.6103,              0.0094626,              0.0094626,              0.0094626
                     21,                  2.203,                 2.0304,                 1.4688,                0.37396,                0.40764,                0.28659,                0.10054,                 2.1816,                 1.9529,                 1.6103,              0.0094343,              0.0094343,              0.0094343
                     22,                  2.147,                  2.007,                 1.4684,                 0.3547,                0.41529,                0.28682,                0.09976,                 2.1979,                 2.0213,                 1.5989,               0.009406,               0.009406,               0.009406
                     23,                 2.1124,                 1.9841,                 1.4726,                0.25291,                0.39108,                0.19677,                0.05921,                 2.2999,                 2.5109,                 1.6016,              0.0093777,              0.0093777,              0.0093777
                     24,                 2.1547,                 2.0429,                 1.4897,                0.30482,                0.42166,                0.23931,                0.08598,                 2.2001,                 2.3719,                 1.5873,              0.0093494,              0.0093494,              0.0093494
                     25,                 2.1083,                 1.8826,                 1.4678,                0.38238,                0.41911,                0.28296,                 0.0926,                 2.3073,                 2.0271,                 1.6674,              0.0093211,              0.0093211,              0.0093211
                     26,                 2.1154,                 1.9506,                 1.4604,                0.37266,                0.46369,                0.28511,                0.09696,                 2.2358,                 2.1659,                  1.624,              0.0092929,              0.0092929,              0.0092929
                     27,                 2.1453,                 1.9564,                 1.4678,                 0.3004,                 0.4242,                0.26264,                0.08507,                  2.242,                 2.1852,                 1.6143,              0.0092646,              0.0092646,              0.0092646
                     28,                 2.0964,                 1.9229,                 1.4799,                0.38472,                0.45987,                0.31532,                0.10045,                 2.2772,                 2.1197,                 1.6292,              0.0092363,              0.0092363,              0.0092363
                     29,                 2.1017,                 1.8817,                 1.4601,                0.35515,                0.38854,                0.27894,                0.08726,                  2.359,                 2.0242,                 1.7043,               0.009208,               0.009208,               0.009208
                     30,                 2.0947,                 1.9307,                 1.4831,                0.40612,                0.44968,                0.32995,                0.11395,                 2.2548,                 2.0194,                 1.6351,              0.0091797,              0.0091797,              0.0091797
                     31,                 2.0972,                 1.8499,                 1.4495,                 0.3998,                0.44459,                0.31681,                0.11208,                 2.2364,                 1.9736,                 1.6257,              0.0091514,              0.0091514,              0.0091514
                     32,                 2.0634,                 1.7905,                  1.411,                0.39154,                0.45905,                0.31984,                 0.0998,                 2.3297,                 1.9429,                 1.6676,              0.0091231,              0.0091231,              0.0091231
                     33,                 2.0917,                 1.8666,                 1.4465,                0.35983,                0.45605,                0.29696,                0.09381,                 2.3245,                  2.007,                 1.6992,              0.0090949,              0.0090949,              0.0090949
                     34,                 2.0554,                 1.8247,                 1.4126,                0.39263,                0.44056,                0.32492,                0.10991,                  2.288,                 1.8823,                 1.6488,              0.0090666,              0.0090666,              0.0090666
                     35,                 2.0549,                 1.8745,                 1.4349,                0.39109,                0.42293,                0.31398,                0.09704,                 2.3164,                 1.9275,                 1.6769,              0.0090383,              0.0090383,              0.0090383
                     36,                 2.0525,                 1.7523,                 1.4349,                0.40721,                0.41129,                0.29744,                0.11259,                 2.2064,                 1.9657,                 1.6149,                0.00901,                0.00901,                0.00901
                     37,                 2.0886,                 1.7746,                 1.4093,                0.33159,                0.42548,                0.25659,                0.08711,                 2.2586,                 1.9735,                  1.635,              0.0089817,              0.0089817,              0.0089817
                     38,                 2.0621,                  1.803,                 1.4309,                0.36923,                0.42038,                0.28184,                 0.1002,                 2.2284,                 1.9393,                  1.611,              0.0089534,              0.0089534,              0.0089534
                     39,                 2.0689,                 1.7913,                  1.417,                0.37002,                0.41529,                0.28305,                0.10037,                   2.17,                 1.9771,                 1.5851,              0.0089251,              0.0089251,              0.0089251
                     40,                 2.0227,                 1.7134,                 1.3845,                  0.316,                0.44076,                0.26491,                0.08788,                 2.2677,                 1.9507,                 1.6398,              0.0088969,              0.0088969,              0.0088969
                     41,                 2.0147,                 1.7336,                 1.4062,                0.39097,                0.52229,                 0.3623,                0.12881,                 2.2607,                 1.7763,                 1.6201,              0.0088686,              0.0088686,              0.0088686
                     42,                  2.024,                  1.691,                 1.3741,                0.36242,                0.49045,                0.31583,                0.11133,                 2.2965,                 1.7878,                 1.6537,              0.0088403,              0.0088403,              0.0088403
                     43,                 2.0007,                 1.6396,                 1.3969,                0.36572,                0.44713,                0.28359,                 0.1007,                 2.2709,                 1.8978,                 1.6285,               0.008812,               0.008812,               0.008812
