                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8914,                 4.4051,                 2.3224,                0.00322,                0.14268,                0.00386,                 0.0012,                 2.3328,                 4.0165,                 2.0352,                 0.0856,                 0.0016,                 0.0016
                      1,                 2.4291,                 3.5881,                 1.8702,                0.01066,                0.47261,                0.07233,                0.02114,                 2.1945,                 3.5869,                 1.6786,               0.070291,              0.0032907,              0.0032907
                      2,                 2.2691,                  2.835,                 1.7574,                 0.0152,                0.67389,                0.15798,                0.04929,                 2.2241,                 3.4133,                 1.6764,               0.054972,              0.0049717,              0.0049717
                      3,                 2.2327,                 2.5912,                 1.6143,                0.01845,                0.81783,                0.28094,                0.09267,                 2.0763,                 2.8925,                 1.6212,               0.039643,              0.0066431,              0.0066431
                      4,                 2.2277,                 2.5667,                 1.5804,                0.18321,                0.06242,                0.09669,                0.03013,                 2.1812,                 3.0149,                 1.6454,               0.024305,               0.008305,               0.008305
                      5,                 2.2476,                 2.5731,                 1.6154,                0.34149,                0.25096,                0.24446,                 0.0874,                 2.1259,                 2.5573,                 1.6727,              0.0098586,              0.0098586,              0.0098586
                      6,                 2.2229,                 2.5201,                 1.6309,                0.17932,                0.33248,                0.12144,                0.03497,                 2.2934,                 2.9211,                 1.8073,              0.0098586,              0.0098586,              0.0098586
                      7,                  2.247,                 2.5217,                 1.6445,                0.27891,                0.33121,                0.19388,                0.06813,                 2.1973,                 2.7457,                 1.7342,              0.0098303,              0.0098303,              0.0098303
                      8,                 2.1833,                 2.4897,                 1.6302,                0.33904,                0.15541,                 0.1523,                0.05338,                 2.3024,                 3.0026,                 2.0278,               0.009802,               0.009802,               0.009802
                      9,                 2.1486,                 2.4705,                 1.5692,                0.32521,                0.38344,                0.25045,                0.09062,                 2.1406,                 2.4411,                 1.7665,              0.0097737,              0.0097737,              0.0097737
                     10,                 2.1896,                 2.4043,                 1.5717,                0.27911,                0.33376,                0.21063,                0.07817,                 2.1374,                 2.8234,                 1.7486,              0.0097454,              0.0097454,              0.0097454
                     11,                 2.0926,                 2.3889,                 1.5592,                0.32653,                0.40127,                0.26398,                0.09738,                 2.1183,                 2.4335,                 1.6114,              0.0097171,              0.0097171,              0.0097171
                     12,                 2.0851,                 2.4123,                 1.5194,                0.34587,                0.36815,                0.26069,                0.09447,                 2.1566,                 2.3355,                 1.6702,              0.0096889,              0.0096889,              0.0096889
                     13,                 2.0881,                 2.4001,                 1.5587,                0.31719,                0.37707,                0.27071,                 0.0985,                 2.1292,                 2.6932,                 1.6761,              0.0096606,              0.0096606,              0.0096606
                     14,                 2.1007,                 2.2992,                 1.5537,                 0.2648,                0.30828,                0.17365,                0.06009,                 2.1255,                 4.4314,                 1.7296,              0.0096323,              0.0096323,              0.0096323
                     15,                 2.1235,                 2.3004,                 1.5649,                0.31802,                0.35643,                0.25031,                 0.0857,                 2.1593,                  2.281,                 1.7023,               0.009604,               0.009604,               0.009604
                     16,                 2.1069,                 2.2658,                 1.5605,                0.37999,                0.42317,                0.29364,                0.10647,                 2.1002,                 2.2648,                 1.6908,              0.0095757,              0.0095757,              0.0095757
                     17,                 2.1052,                 2.2434,                 1.5676,                0.36672,                0.42293,                0.30584,                0.11529,                 2.1027,                 2.3498,                 1.7351,              0.0095474,              0.0095474,              0.0095474
                     18,                 2.0747,                 2.2255,                 1.5502,                 0.3501,                0.43694,                0.28333,                 0.0976,                 2.1241,                   2.41,                 1.7179,              0.0095191,              0.0095191,              0.0095191
                     19,                 2.1012,                  2.256,                   1.55,                0.29739,                 0.3758,                0.25131,                0.07456,                  2.257,                 2.3681,                 1.7993,              0.0094909,              0.0094909,              0.0094909
                     20,                 2.1059,                 2.2039,                 1.5561,                0.31398,                0.43185,                0.26342,                0.09729,                 2.1176,                 2.8396,                 1.6574,              0.0094626,              0.0094626,              0.0094626
                     21,                 2.1243,                 2.2483,                 1.5371,                0.38481,                0.42548,                0.32888,                0.11674,                 2.0738,                 2.2715,                 1.6629,              0.0094343,              0.0094343,              0.0094343
                     22,                 2.0615,                 2.2366,                  1.555,                0.34446,                0.41019,                0.28748,                0.10244,                 2.1214,                 2.2771,                  1.678,               0.009406,               0.009406,               0.009406
                     23,                 2.0672,                 2.2548,                 1.5584,                0.27864,                0.38854,                0.22415,                0.07026,                 2.2097,                 2.4608,                 1.6577,              0.0093777,              0.0093777,              0.0093777
                     24,                 2.0813,                  2.294,                 1.5403,                0.28497,                0.30446,                0.17723,                0.06906,                 2.1493,                 2.6093,                 1.7655,              0.0093494,              0.0093494,              0.0093494
                     25,                 2.0602,                 2.1429,                 1.5487,                 0.3139,                0.41019,                0.26656,                 0.1004,                 2.1071,                 2.1669,                 1.7025,              0.0093211,              0.0093211,              0.0093211
                     26,                 2.0559,                 2.2212,                 1.5465,                0.38569,                0.36688,                0.27188,                0.09904,                 2.1137,                 2.2081,                  1.694,              0.0092929,              0.0092929,              0.0092929
                     27,                 2.0931,                 2.2004,                 1.5448,                 0.3996,                0.31794,                0.26514,                0.09038,                 2.2022,                 2.4851,                 1.7671,              0.0092646,              0.0092646,              0.0092646
                     28,                 2.0713,                 2.1718,                 1.5416,                0.37687,                0.45605,                0.30793,                0.09203,                 2.2763,                 2.2343,                 1.7528,              0.0092363,              0.0092363,              0.0092363
                     29,                   2.05,                 2.1649,                 1.5348,                0.34969,                0.44459,                0.28146,                0.09313,                 2.1709,                 2.2046,                 1.6976,               0.009208,               0.009208,               0.009208
                     30,                 2.0359,                 2.2157,                 1.5406,                0.36658,                0.45732,                0.30956,                0.10543,                 2.1227,                 2.3691,                 1.6951,              0.0091797,              0.0091797,              0.0091797
                     31,                 2.0471,                 2.1303,                 1.5384,                0.37222,                0.40892,                0.30016,                0.10747,                 2.1006,                 2.1983,                 1.6819,              0.0091514,              0.0091514,              0.0091514
                     32,                 2.0073,                 2.0565,                 1.4719,                0.35279,                0.38344,                0.27735,                0.08459,                 2.2235,                 2.5138,                 1.6913,              0.0091231,              0.0091231,              0.0091231
                     33,                 2.0375,                 2.1282,                 1.5211,                0.32502,                 0.4051,                0.26566,                 0.0856,                 2.1865,                 2.2072,                 1.7336,              0.0090949,              0.0090949,              0.0090949
                     34,                 2.0044,                 2.0943,                 1.5045,                  0.322,                0.43567,                0.27658,                0.09555,                 2.1607,                 2.2969,                  1.762,              0.0090666,              0.0090666,              0.0090666
                     35,                 2.0667,                  2.124,                 1.5669,                0.32374,                0.46624,                  0.266,                0.08397,                  2.214,                 2.3408,                 1.7382,              0.0090383,              0.0090383,              0.0090383
                     36,                 2.0524,                   2.05,                 1.5259,                0.31653,                0.43185,                0.26745,                0.10601,                 2.0596,                 2.1384,                 1.6594,                0.00901,                0.00901,                0.00901
                     37,                   2.01,                  2.098,                 1.5011,                0.30212,                0.44204,                0.25233,                0.09168,                 2.1314,                 2.1631,                 1.7371,              0.0089817,              0.0089817,              0.0089817
                     38,                 2.0036,                 2.1382,                 1.5196,                0.37187,                0.35159,                0.26266,                0.09759,                  2.156,                 2.2504,                 1.7728,              0.0089534,              0.0089534,              0.0089534
                     39,                  2.005,                 2.0834,                 1.5299,                0.31232,                0.44331,                0.29416,                0.11313,                 2.0591,                 2.1239,                 1.7034,              0.0089251,              0.0089251,              0.0089251
                     40,                 2.0088,                 2.0193,                 1.5066,                0.36485,                0.46242,                0.31335,                0.11169,                 2.1288,                 2.0518,                 1.7214,              0.0088969,              0.0088969,              0.0088969
                     41,                 2.0037,                  2.075,                 1.5312,                0.40588,                0.43687,                0.32683,                0.11878,                 2.1046,                 2.1006,                  1.759,              0.0088686,              0.0088686,              0.0088686
                     42,                 1.9854,                 2.0143,                 1.5138,                0.39618,                0.40637,                0.31795,                0.11637,                 2.1392,                 2.1321,                 1.7657,              0.0088403,              0.0088403,              0.0088403
                     43,                  2.022,                 1.9858,                 1.5231,                0.37412,                 0.4293,                0.30208,                0.11111,                 2.1391,                 2.0957,                   1.73,               0.008812,               0.008812,               0.008812
                     44,                 1.9568,                 2.0744,                 1.5063,                0.36628,                0.44586,                0.29488,                0.10283,                 2.1406,                 2.0868,                 1.7057,              0.0087837,              0.0087837,              0.0087837
                     45,                 2.0168,                 2.0467,                 1.4986,                0.37163,                 0.4219,                0.27035,                0.09789,                 2.1367,                 2.1387,                 1.6925,              0.0087554,              0.0087554,              0.0087554
                     46,                 1.9748,                 2.0195,                 1.4968,                  0.339,                0.44459,                0.27941,                0.10268,                 2.1159,                 2.1162,                 1.7125,              0.0087271,              0.0087271,              0.0087271
                     47,                 2.0232,                 2.0085,                 1.5096,                0.34076,                0.39112,                0.27257,                0.08938,                 2.2454,                  2.192,                 1.7422,              0.0086989,              0.0086989,              0.0086989
                     48,                 1.9912,                 1.9808,                 1.4829,                0.40095,                 0.4535,                 0.3188,                0.11353,                 2.1971,                 2.0612,                 1.7079,              0.0086706,              0.0086706,              0.0086706
                     49,                 1.9651,                 1.9753,                 1.4892,                0.36514,                0.42548,                0.30412,                0.10231,                 2.2355,                 2.0923,                 1.7442,              0.0086423,              0.0086423,              0.0086423
                     50,                  1.968,                 1.9945,                 1.5131,                0.35594,                0.45126,                0.28495,                0.10335,                 2.1458,                 2.0918,                 1.7172,               0.008614,               0.008614,               0.008614
                     51,                 2.0226,                 2.1079,                 1.5483,                0.28752,                0.33758,                0.22645,                0.08161,                 2.1492,                 2.2747,                 1.7545,              0.0085857,              0.0085857,              0.0085857
                     52,                 1.9955,                 1.9777,                 1.5125,                0.30545,                0.43185,                0.25923,                0.07774,                 2.1955,                 2.4965,                 1.7616,              0.0085574,              0.0085574,              0.0085574
                     53,                 1.9599,                 1.9698,                 1.5189,                0.36554,                0.46879,                0.30838,                0.10894,                 2.1113,                 2.0441,                 1.6802,              0.0085291,              0.0085291,              0.0085291
                     54,                 1.9524,                 1.8999,                 1.4872,                0.33568,                0.47134,                0.30301,                0.11451,                 2.1037,                 2.0536,                 1.6824,              0.0085009,              0.0085009,              0.0085009
                     55,                 1.9627,                 1.9079,                 1.5112,                0.37402,                0.44076,                0.29331,                0.09876,                 2.2144,                 2.0993,                 1.7789,              0.0084726,              0.0084726,              0.0084726
                     56,                 1.9261,                 1.8389,                 1.4834,                0.37513,                0.43668,                0.31272,                0.11119,                 2.1614,                 2.0612,                  1.715,              0.0084443,              0.0084443,              0.0084443
