                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0107,                 4.8054,                 2.5223,                0.26262,                0.25096,                0.16779,                0.04877,                 2.6803,                 2.8588,                 2.5962,                 0.0856,                 0.0016,                 0.0016
                      1,                 2.6462,                 2.8649,                 2.2559,                 0.2824,                0.47006,                0.22116,                0.06937,                 2.4949,                 3.0998,                 2.2726,               0.070291,              0.0032907,              0.0032907
                      2,                 2.3556,                 2.7994,                 2.0126,                0.25048,                0.28662,                0.16574,                0.05028,                 2.3141,                 4.9383,                 2.2075,               0.054972,              0.0049717,              0.0049717
                      3,                 2.2437,                 2.9122,                 1.7788,                0.26971,                0.39236,                0.23618,                0.08277,                 2.2989,                 7.7126,                 1.7522,               0.039643,              0.0066431,              0.0066431
                      4,                  2.196,                 3.4848,                 1.7066,                0.15008,                0.42675,                0.12582,                0.03589,                 2.3087,                 9.1901,                  1.797,               0.024305,               0.008305,               0.008305
                      5,                 2.1848,                 2.7995,                 1.7576,                0.11849,                0.11083,                0.04301,                0.01297,                 2.5767,                  5.662,                 2.2882,              0.0098586,              0.0098586,              0.0098586
                      6,                 2.1001,                 2.5385,                   1.79,                0.30921,                0.23185,                0.17792,                0.06719,                 2.2226,                 2.8141,                 2.0889,              0.0098586,              0.0098586,              0.0098586
                      7,                 2.1782,                 2.5175,                 1.7935,                  0.321,                0.29936,                 0.2288,                0.07808,                 2.1613,                    2.8,                 1.9821,              0.0098303,              0.0098303,              0.0098303
                      8,                 2.1163,                 2.3763,                 1.7281,                0.32402,                0.39745,                0.25688,                0.09032,                 2.1603,                 2.8166,                 1.9675,               0.009802,               0.009802,               0.009802
                      9,                 2.1375,                 2.4403,                 1.7537,                0.26716,                0.30191,                0.16835,                0.05152,                 2.1777,                 3.3106,                   2.13,              0.0097737,              0.0097737,              0.0097737
                     10,                 2.1324,                 2.3363,                 1.7808,                0.25145,                0.40255,                0.22971,                 0.0831,                 2.0977,                 2.7315,                 1.9227,              0.0097454,              0.0097454,              0.0097454
                     11,                 2.0293,                 2.3248,                 1.7255,                0.26999,                0.24968,                0.20444,                0.07778,                 2.1285,                 2.6837,                 1.9075,              0.0097171,              0.0097171,              0.0097171
                     12,                 2.0383,                 2.3555,                 1.6731,                0.31114,                0.34522,                0.20643,                0.07531,                 2.1479,                 2.6083,                  2.016,              0.0096889,              0.0096889,              0.0096889
                     13,                 2.0616,                 2.3269,                 1.7044,                0.25386,                0.33631,                 0.2093,                0.07396,                 2.2359,                 2.6445,                 1.9679,              0.0096606,              0.0096606,              0.0096606
                     14,                 2.1185,                 2.1881,                 1.7006,                0.38788,                0.44841,                0.32519,                0.11486,                  2.123,                 2.7861,                 1.9124,              0.0096323,              0.0096323,              0.0096323
                     15,                 2.0623,                 2.1645,                 1.6711,                0.30233,                0.36815,                0.23976,                0.08141,                 2.1942,                 3.0346,                 1.9484,               0.009604,               0.009604,               0.009604
                     16,                 2.0457,                 2.1523,                 1.6904,                0.35258,                 0.3949,                0.27899,                0.10517,                 2.1497,                 2.3785,                 1.8884,              0.0095757,              0.0095757,              0.0095757
                     17,                 2.0541,                 2.1248,                 1.6954,                0.39337,                0.30573,                0.27431,                0.10582,                 2.1789,                 2.3853,                 1.9461,              0.0095474,              0.0095474,              0.0095474
                     18,                 2.0471,                 2.1119,                 1.6892,                0.37159,                 0.4051,                0.27547,                0.09213,                 2.1605,                 2.7233,                 1.9173,              0.0095191,              0.0095191,              0.0095191
                     19,                 2.0839,                 2.0864,                 1.6953,                0.32093,                0.31975,                 0.2183,                0.07015,                 2.2647,                 2.6069,                 2.0532,              0.0094909,              0.0094909,              0.0094909
                     20,                 2.0314,                  2.045,                 1.6619,                0.37668,                0.41401,                0.30417,                0.11256,                 2.1189,                 2.2216,                 1.9007,              0.0094626,              0.0094626,              0.0094626
                     21,                 2.0735,                 2.0703,                 1.6574,                0.36028,                0.38455,                0.29026,                0.10602,                 2.1627,                 2.2654,                 1.9664,              0.0094343,              0.0094343,              0.0094343
                     22,                 2.0101,                 2.0805,                  1.683,                0.35588,                0.43439,                0.28031,                0.10702,                 2.1115,                 2.1042,                 1.9003,               0.009406,               0.009406,               0.009406
                     23,                 1.9994,                 2.0595,                  1.665,                0.33193,                0.37197,                0.25543,                0.08699,                 2.2112,                 2.3418,                 1.9418,              0.0093777,              0.0093777,              0.0093777
                     24,                 2.0044,                 2.0788,                 1.6412,                0.37693,                0.42293,                0.29504,                0.10737,                 2.1861,                 2.1338,                 1.9335,              0.0093494,              0.0093494,              0.0093494
                     25,                 1.9711,                 1.9508,                 1.6365,                0.31076,                0.42548,                0.23713,                0.07352,                 2.2354,                 2.3407,                 1.9139,              0.0093211,              0.0093211,              0.0093211
                     26,                   1.98,                  1.991,                 1.6248,                0.30902,                0.40255,                0.23216,                0.07713,                 2.2716,                 2.2065,                 1.9835,              0.0092929,              0.0092929,              0.0092929
                     27,                 2.0072,                 2.0424,                  1.649,                0.30469,                0.45049,                0.24362,                0.08213,                 2.2144,                 2.4282,                 1.9398,              0.0092646,              0.0092646,              0.0092646
                     28,                 1.9706,                 1.9358,                 1.6467,                0.33462,                0.37349,                 0.2585,                 0.0884,                 2.2751,                 2.4079,                 1.9964,              0.0092363,              0.0092363,              0.0092363
                     29,                 1.9619,                  1.949,                 1.6326,                0.36439,                0.42548,                0.28622,                0.09944,                 2.2544,                 2.1206,                 1.9924,               0.009208,               0.009208,               0.009208
                     30,                 1.9455,                 1.9414,                  1.635,                0.28985,                0.40637,                0.22042,                0.07357,                 2.2475,                 2.3871,                 1.9984,              0.0091797,              0.0091797,              0.0091797
                     31,                 1.9765,                 1.8659,                 1.6484,                0.38751,                0.46242,                0.31288,                0.10702,                 2.2195,                 2.0683,                 1.9725,              0.0091514,              0.0091514,              0.0091514
                     32,                 1.9138,                 1.7639,                 1.5777,                0.37586,                0.41274,                0.29254,                0.10656,                 2.2413,                 2.0726,                 2.0049,              0.0091231,              0.0091231,              0.0091231
                     33,                  1.916,                 1.8148,                 1.6139,                0.30972,                0.43949,                0.24238,                0.08196,                 2.2688,                  2.155,                 2.0374,              0.0090949,              0.0090949,              0.0090949
                     34,                  1.861,                 1.7295,                 1.5527,                0.34839,                0.44331,                0.26711,                0.08889,                 2.2788,                 2.1033,                 2.0461,              0.0090666,              0.0090666,              0.0090666
                     35,                 1.9006,                 1.7343,                 1.6081,                0.34295,                0.43286,                0.24573,                0.07995,                 2.3424,                 2.1253,                 2.0861,              0.0090383,              0.0090383,              0.0090383
                     36,                 1.8993,                 1.6518,                 1.5762,                0.35521,                0.40382,                0.26096,                0.09968,                 2.1789,                 2.1175,                 1.9591,                0.00901,                0.00901,                0.00901
                     37,                 1.8899,                 1.7005,                 1.5787,                0.29536,                0.39745,                0.22999,                0.07938,                 2.2854,                 2.2369,                 2.0734,              0.0089817,              0.0089817,              0.0089817
                     38,                 1.8339,                 1.6744,                 1.5812,                0.35081,                0.42803,                0.26479,                0.09382,                 2.2468,                 2.0744,                 2.0087,              0.0089534,              0.0089534,              0.0089534
                     39,                 1.8675,                 1.6532,                  1.573,                0.36941,                0.45987,                 0.2906,                0.10591,                  2.207,                 1.9915,                 1.9908,              0.0089251,              0.0089251,              0.0089251
                     40,                 1.8371,                 1.5758,                 1.5331,                0.35208,                 0.4293,                0.26223,                0.09003,                 2.2901,                 2.1084,                 2.0662,              0.0088969,              0.0088969,              0.0088969
                     41,                 1.7868,                 1.5718,                 1.5388,                0.34886,                 0.4879,                0.26832,                0.09654,                 2.2667,                 2.0386,                 2.0438,              0.0088686,              0.0088686,              0.0088686
                     42,                  1.799,                 1.5124,                 1.5164,                0.35768,                0.47643,                0.29893,                0.10832,                 2.2679,                 2.0126,                 2.0535,              0.0088403,              0.0088403,              0.0088403
