                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8697,                 5.0384,                 1.9734,                0.00319,                0.08861,                0.00183,                0.00055,                 2.9032,                 4.6665,                 1.9535,                 0.0982,                 0.0002,                 0.0002
                      1,                 3.2049,                 4.7342,                 1.6955,                0.00276,                0.07595,                 0.0016,                0.00059,                 2.8678,                 4.6961,                 1.9491,               0.095499,             0.00049859,             0.00049859
                      2,                 3.5176,                 4.7323,                 1.9265,                0.00229,                0.06329,                0.00135,                0.00049,                 2.9365,                 4.7014,                  1.986,               0.092795,             0.00079547,             0.00079547
                      3,                 3.4097,                 4.4537,                 1.9174,                0.00661,                0.18987,                0.00403,                0.00145,                 2.7354,                 4.2333,                  1.829,               0.090091,              0.0010907,              0.0010907
                      4,                  3.112,                 4.0733,                 2.0344,                 0.4143,                0.04514,                0.06215,                 0.0211,                 2.5319,                 3.2596,                 1.7301,               0.087384,              0.0013842,              0.0013842
                      5,                 2.8024,                 2.9073,                 1.6255,                0.67568,                0.29114,                0.30074,                0.10082,                 2.4843,                 2.3465,                 1.6333,               0.084676,               0.001676,               0.001676
                      6,                 3.3146,                 2.8256,                  1.762,                0.38997,                0.43038,                0.38932,                0.14178,                 2.4186,                 1.8642,                 1.5937,               0.081966,              0.0019661,              0.0019661
                      7,                 2.6196,                 2.0033,                 1.5524,                0.43317,                0.49334,                0.40733,                0.15884,                 2.3509,                  2.089,                 1.5236,               0.079254,              0.0022545,              0.0022545
                      8,                 2.7452,                 1.9688,                 1.6223,                0.42585,                0.49762,                 0.3763,                0.12222,                 2.4173,                 3.4398,                 1.5945,               0.076541,              0.0025412,              0.0025412
                      9,                 2.4267,                 1.6016,                 1.3901,                0.45814,                0.49367,                0.35109,                0.11377,                 2.5029,                 2.7844,                 1.5963,               0.073826,              0.0028262,              0.0028262
                     10,                 2.5517,                 1.8909,                 1.3271,                0.30048,                0.36709,                0.26288,                0.09417,                 2.3844,                 2.1858,                 1.4483,               0.071109,              0.0031095,              0.0031095
                     11,                 2.3024,                 1.4633,                 1.3023,                0.55656,                0.48101,                0.41485,                0.16633,                 2.2918,                 3.1873,                 1.4451,               0.068391,              0.0033911,              0.0033911
                     12,                 2.3866,                 1.5941,                 1.2794,                 0.4957,                 0.5443,                0.41162,                0.15572,                 2.1639,                 2.2045,                 1.4006,               0.065671,               0.003671,               0.003671
                     13,                 2.4401,                 1.4359,                 1.3006,                0.61301,                 0.5815,                0.49927,                0.19414,                 1.9914,                 1.4957,                 1.3492,               0.062949,              0.0039492,              0.0039492
                     14,                  2.288,                 1.5552,                 1.4256,                0.69049,                0.50633,                0.52892,                0.21296,                 2.0117,                 2.3577,                 1.3269,               0.060226,              0.0042258,              0.0042258
                     15,                 2.0801,                 1.6195,                 1.2929,                0.45033,                0.58228,                0.49589,                0.20959,                 2.0033,                 1.5573,                 1.3309,               0.057501,              0.0045006,              0.0045006
                     16,                 2.2058,                 1.6595,                 1.2015,                0.46659,                0.58228,                0.49356,                 0.1841,                 2.0051,                 3.5605,                 1.3037,               0.054774,              0.0047737,              0.0047737
                     17,                 2.1324,                 1.6531,                 1.1976,                0.39878,                0.46835,                 0.4127,                0.14698,                 2.0892,                 1.7702,                 1.3254,               0.052045,              0.0050451,              0.0050451
                     18,                 1.9374,                 1.8564,                 1.1857,                0.45274,                0.64557,                0.44955,                0.17956,                  2.013,                  2.324,                 1.2934,               0.049315,              0.0053149,              0.0053149
                     19,                 2.1093,                 1.6119,                 1.1591,                0.55933,                0.53165,                0.48508,                0.19332,                  1.934,                 1.5556,                 1.2856,               0.046583,              0.0055829,              0.0055829
                     20,                   2.28,                 1.4826,                 1.2803,                0.58429,                0.56962,                0.50317,                0.17764,                 2.0381,                 3.0464,                 1.3553,               0.043849,              0.0058493,              0.0058493
                     21,                  2.091,                 1.9131,                 1.2253,                0.61658,                0.56962,                0.52659,                0.20496,                 2.0392,                 1.4749,                 1.3331,               0.041114,              0.0061139,              0.0061139
                     22,                 2.1511,                 1.4662,                 1.2104,                0.63447,                0.57127,                 0.5081,                0.21662,                 1.9213,                 1.9383,                 1.2855,               0.038377,              0.0063768,              0.0063768
                     23,                 1.9721,                 1.1354,                 1.1995,                0.65794,                0.60759,                0.55352,                0.23718,                 1.9739,                  1.597,                 1.3667,               0.035638,              0.0066381,              0.0066381
                     24,                 2.5121,                 1.7711,                 1.5273,                0.59923,                0.67089,                0.55744,                0.24528,                  1.992,                 1.5801,                 1.3757,               0.032898,              0.0068976,              0.0068976
                     25,                 2.1433,                 1.2567,                 1.2223,                0.50851,                0.62025,                0.49209,                 0.1867,                 2.0964,                 1.5019,                 1.4527,               0.030156,              0.0071555,              0.0071555
                     26,                 2.1126,                 1.2039,                 1.0511,                0.63249,                0.59494,                0.52002,                0.16126,                 2.2251,                 2.7722,                 1.4171,               0.027412,              0.0074117,              0.0074117
                     27,                 2.1888,                 1.4136,                  1.098,                0.64081,                0.59494,                0.56446,                0.21174,                 2.0299,                  1.551,                 1.3411,               0.024666,              0.0076661,              0.0076661
                     28,                 1.8959,                 1.3776,                 1.2232,                0.64081,                0.59494,                0.56446,                0.21174,                 2.0299,                  1.551,                 1.3411,               0.021919,              0.0079189,              0.0079189
                     29,                 2.2747,                 1.7272,                 1.0962,                0.58147,                0.50633,                0.45707,                0.18265,                  2.086,                 4.8054,                 1.3646,                0.01917,              0.0081699,              0.0081699
                     30,                 2.1458,                  1.461,                 1.2391,                0.56519,                0.41772,                0.41452,                0.15294,                 2.2009,                 1.6793,                 1.4518,               0.016419,              0.0084193,              0.0084193
                     31,                 2.1389,                 1.2405,                  1.174,                0.48946,                0.44304,                 0.3929,                0.13834,                 2.2895,                 1.6782,                 1.4484,               0.013667,               0.008667,               0.008667
                     32,                 2.2535,                 1.3365,                 1.1885,                0.48946,                0.44304,                 0.3929,                0.13834,                 2.2895,                 1.6782,                 1.4484,               0.010913,               0.008913,               0.008913
                     33,                 2.0312,                 1.2575,                 1.1497,                0.68318,                0.50633,                0.51203,                0.19382,                 2.1853,                   1.93,                 1.4878,              0.0090666,              0.0090666,              0.0090666
                     34,                 2.0138,                 1.4211,                 1.1406,                0.43789,                0.46835,                 0.4335,                0.15237,                 2.2411,                 1.8774,                   1.44,              0.0090666,              0.0090666,              0.0090666
