                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0742,                 5.8163,                 2.3356,                0.02872,                0.02532,                0.00714,                0.00248,                  2.489,                 4.5851,                 2.6579,                 0.0982,                 0.0002,                 0.0002
                      1,                 2.8849,                  5.231,                 2.3156,                0.01337,                0.06329,                0.00625,                0.00213,                 2.5339,                 4.5564,                 2.6781,               0.095499,             0.00049859,             0.00049859
                      2,                 2.8805,                 5.2846,                 2.5766,                0.00619,                0.32911,                0.00741,                0.00236,                 2.5359,                 4.4468,                 2.6863,               0.092795,             0.00079547,             0.00079547
                      3,                 2.9743,                 4.6053,                 2.4058,                0.02107,                0.24051,                 0.0232,                0.00713,                 2.4629,                 4.0572,                 2.6115,               0.090091,              0.0010907,              0.0010907
                      4,                 2.8343,                 4.4511,                   2.52,                0.40466,                0.11392,                0.16687,                0.05494,                 2.4714,                 3.5217,                 2.5928,               0.087384,              0.0013842,              0.0013842
                      5,                  2.741,                 3.6255,                 2.1665,                0.45566,                0.25316,                0.29094,                0.08827,                 2.4154,                  3.028,                 2.5747,               0.084676,               0.001676,               0.001676
                      6,                 2.8067,                   2.89,                 2.2428,                0.51466,                0.25507,                 0.3262,                0.10637,                 2.3658,                 2.7611,                 2.5265,               0.081966,              0.0019661,              0.0019661
                      7,                  2.498,                 2.7421,                 2.0964,                0.44335,                0.41772,                0.42995,                0.13915,                 2.3704,                 2.5515,                 2.5046,               0.079254,              0.0022545,              0.0022545
                      8,                 2.4132,                 2.7902,                 2.2999,                0.28669,                0.32911,                0.27723,                0.10108,                 2.2485,                 2.8602,                 2.3478,               0.076541,              0.0025412,              0.0025412
                      9,                 2.4251,                  2.398,                 1.9678,                0.37991,                0.44304,                0.38482,                0.14756,                 2.2438,                 2.5287,                 2.3507,               0.073826,              0.0028262,              0.0028262
